city,area_name,place_id,name,rating,popularity,price_level,types_csv,address,category_main
台北市,信義區,ChIJL6olmHSrQjQRLQ7itONyGgs,樂軒松阪亭,4.8,3891,4.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松高路19號6樓,其他
台北市,信義區,ChIJMxoKdLqrQjQRiFDQr8nIhug,Miacucina信義店,4.3,4437,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路11號2 樓,其他
台北市,信義區,ChIJ4Qky6surQjQRyBWKG9Pk3lA,義饗屋 di CaSa 台北信義遠百店,4.4,410,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松仁路58號B3,其他
台北市,信義區,ChIJI-uHec6rQjQRolls8XbSbdY,心潮飯店,4.3,2957,2.0,"bar,restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段68號2樓,其他
台北市,信義區,ChIJFSbe67SrQjQRclTQpMiSzVA,Creative Pasta 創義麵 信義店,4.2,2406,2.0,"restaurant,store,point_of_interest,food,establishment",110台灣台北市信義區莊敬路327號,義式
台北市,信義區,ChIJrSZypLCrQjQRJ2NhICGN2JA,老乾杯 信義店,4.2,2022,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路9號新光三越 A9 館8樓,其他
台北市,信義區,ChIJee7pgLSrQjQRIvEw0Gv3H58,溫度小館Chaleureux,4.5,539,2.0,"restaurant,point_of_interest,food,establishment",11050台灣台北市信義區莊敬路391巷3弄16號,其他
台北市,信義區,ChIJSZ89XCmrQjQRlzpduQTbttA,筷炒KUAICHAO,4.3,1093,,"restaurant,point_of_interest,food,establishment",11073台灣台北市信義區松仁路58號14樓,其他
台北市,信義區,ChIJk-t4sLGrQjQRG0XNTYo1jgg,JOYCE EAST,4.3,700,4.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區信義路五段128號1樓,其他
台北市,信義區,ChIJiwbs0gGrQjQRHo5yLLB1zH8,Second Floor 貳樓微風南山店,4.5,1934,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松智路17號7樓,其他
